train_basins,test_basin,rmse_24h,rmse_48h,mae_24h,mae_48h,n
WP,WP,0.113314666,0.31535175,0.069909036,0.20990221,31
WP,NA,0.101567835,0.23579903,0.086111605,0.18704422,42
WP,EP,0.109439224,0.3738133,0.09569675,0.28993565,21
NA,WP,0.10376688,0.33126754,0.063310236,0.2254208,31
NA,NA,0.08371032,0.22560698,0.06401058,0.16393815,42
NA,EP,0.091266364,0.37443742,0.07005655,0.27251908,21
EP,WP,0.12953584,0.2875727,0.088126265,0.1954314,31
EP,NA,0.0920545,0.2884027,0.07187168,0.23059529,42
EP,EP,0.10057757,0.34116098,0.08106421,0.2561241,21
WP,WP,0.113314666,0.31535175,0.069909036,0.20990221,31
WP,NA,0.101567835,0.23579903,0.086111605,0.18704422,42
WP,EP,0.109439224,0.3738133,0.09569675,0.28993565,21
WP+NA,WP,0.10595761,0.31710055,0.066387944,0.21141285,31
WP+NA,NA,0.09611938,0.23349492,0.07979492,0.18392995,42
WP+NA,EP,0.09948572,0.36740392,0.08471809,0.28333116,21
WP+NA+EP,WP,0.11143753,0.3257969,0.067896515,0.2239537,31
WP+NA+EP,NA,0.09274983,0.23543996,0.075505555,0.18515627,42
WP+NA+EP,EP,0.10249654,0.3740218,0.086730115,0.28864837,21
