feature,mean_abs_shap,rank
dist_to_coast,1.7875211,1
land_frac_window,1.0224981,2
pres_delta_24h,0.34162757,3
wind_delta_24h,0.19197778,4
env_25,0.17874055,5
env_7,0.14084376,6
sp_ch4_asymmetry,0.12431464,7
sp_ch0_max,0.12318754,8
wp_residual,0.122698165,9
env_29,0.10265233,10
sp_ch0_p90,0.09445201,11
env_18,0.091191314,12
sp_ch1_p90,0.08994246,13
env_2,0.08947485,14
over_land,0.08710496,15
wind_last,0.067953154,16
env_31,0.059756905,17
sp_ch1_std,0.057456125,18
pres_std,0.043611676,19
wind_std,0.033715203,20
sp_ch4_std,0.033037692,21
env_3,0.032835364,22
env_24,0.030548215,23
sp_ch1_mean,0.015759341,24
wind_trend,0.01498108,25
wind_delta_6h,0.013849485,26
sp_ch1_max,0.011656059,27
lon_last,0.01010979,28
sp_ch4_mean,0.009978021,29
lat_last,0.009946015,30
sp_ch1_asymmetry,0.008214167,31
sp_ch3_p90,0.008088635,32
env_9,0.0062500816,33
sp_ch4_max,0.0058388286,34
sp_ch0_mean,0.0055135996,35
sp_ch3_std,0.005282612,36
sp_ch3_mean,0.00516711,37
sp_ch2_max,0.0048000365,38
env_11,0.0045101806,39
env_23,0.0038701762,40
env_12,0.0034056753,41
env_8,0.0034046809,42
env_28,0.0032081623,43
env_16,0.0031468726,44
wind_max,0.003142937,45
pres_min,0.0,46
wind_mean,0.0,47
wind_delta_12h,0.0,48
pres_last,0.0,49
pres_trend,0.0,50
pres_delta_12h,0.0,51
pres_mean,0.0,52
pres_delta_6h,0.0,53
sp_ch4_p90,0.0,54
sp_ch3_asymmetry,0.0,55
sp_ch3_max,0.0,56
sp_ch0_std,0.0,57
motion_speed_kph,0.0,58
motion_dir_deg,0.0,59
sp_ch0_asymmetry,0.0,60
sp_ch2_p90,0.0,61
sp_ch2_std,0.0,62
sp_ch2_mean,0.0,63
sp_ch2_asymmetry,0.0,64
env_1,0.0,65
env_15,0.0,66
env_14,0.0,67
env_13,0.0,68
env_10,0.0,69
env_0,0.0,70
env_4,0.0,71
env_5,0.0,72
env_6,0.0,73
env_22,0.0,74
env_21,0.0,75
env_20,0.0,76
env_19,0.0,77
env_17,0.0,78
env_26,0.0,79
env_27,0.0,80
env_30,0.0,81
